destino,url
San Juan del Rio,https://www.lugares.com.mx/wp-content/uploads/2017/07/jardin-independencia-san-juan-del-rio-drone-header-image.jpg
San Luis Potosi,https://media.cnn.com/api/v1/images/stellar/prod/cnne-541562-san-luis-potosi-mexico.jpg?c=16x9&q=h_653,w_1160,c_fill/f_webp
San Miguel de Allende,https://guanajuato.mx/wp-content/uploads/2022/05/San-Miguel-de-Allende-Guanajuato-1-e1653153544601.jpg
Taxco,https://media.admagazine.com/photos/618a6088fb71c632cb92407d/master/w_1600,c_limit/86399.jpg
Tequisquiapan,https://www.gob.mx/cms/uploads/article/main_image/83265/Santa-Maria-de-Asuncion-web.jpg
Tlaxcala,https://www.turismomexico.es/wp-content/uploads/2023/05/tlaxcala-mexico-viajes.jpg
Toluca,https://www.lugaresturisticosenmexico.com/wp-content/uploads/2022/04/Toluca-Estado-de-Mexico-1536x768.jpg
Tuxtla Gutierrez,https://alma-de-chiapas.com/wp-content/uploads/2020/02/mexico-tuxtla-gutierrez-tours-dec-2018.jpg
Valle de Bravo,https://www.gob.mx/cms/uploads/image/file/509729/PLAZA-VALLE-web.png
Villahermosa,https://mexicorutamagica.mx/wp-content/uploads/2022/09/villahermosa-historia-hoteles-como-llegar-atractivos-768x480.jpg
Xalapa,https://www.lugaresturisticosenmexico.com/wp-content/uploads/2022/06/Xalapa-Veracruz-Centro-1536x768.jpg
Zacatecas,https://media.cnn.com/api/v1/images/stellar/prod/cnne-709966-1-1-3.jpg?c=16x9&q=h_653,w_1160,c_fill/f_webp
Ciudad Juarez,https://www.mexicodesconocido.com.mx/wp-content/uploads/2024/07/parroquia-de-nuestra-senora-de-guadalupe-ciudad-juarez-900x506.jpg
Mexicali,https://i0.wp.com/blog.vivaaerobus.com/wp-content/uploads/2023/11/Ciudad-de-Mexicali-Baja-California-e1700875453585.jpg?resize=1027%2C582&ssl=1
Piedras Negras,https://superchannel12.com/images/publicaciones/615645/image_18-02-23_13-08-40.webp
Tecate,https://centrourbano.com/revista/wp-content/uploads/Tecate.jpg
Tijuana,https://www.ingenes.com/wp-content/uploads/2021/08/Tijuana_Mx.jpg
Ciudad de Mexico,https://www.mexicodesconocido.com.mx/wp-content/uploads/2010/05/ciudad-de-mexico-angel-independencia-depositphotos-900x600.jpg
Guadalajara,https://offloadmedia.feverup.com/guadalajarasecreta.com/wp-content/uploads/2024/06/17133115/Fotos-Wordpress-71.jpg
Monterrey,https://www.mexicodesconocido.com.mx/wp-content/uploads/2010/06/ciudad-de-monterrey-nuevo-leon-flickr-900x596.jpg
Atlixco,https://www.gob.mx/cms/uploads/image/file/535598/Puebla-Atlixco-Panorama-web.jpg
